"HYRIV_ID","HYBAS_L08","HYBAS_L12"
20107459,2080036120,2120036160
20107460,2080036120,2120036170
20107461,2080036120,2120036210
20107463,2080036350,2120036350
20107597,2080036120,2120036170
20107598,2080036120,2120036210
20107599,2080036120,2120036210
20107600,2080036350,2120036350
20107601,2080036350,2120036350
20107602,2080036370,2120036370
20107673,2080036120,2120036160
20107674,2080036120,2120036160
20107677,2080036370,2120036370
20107678,2080036370,2120036370
20107725,2080036120,2120036160
20107726,2080036120,2120036160
20107727,2080036120,2120036210
20107728,2080036120,2120036210
20107732,2080036370,2120036370
20107733,2080036370,2120036370
20107734,2080036370,2120036370
20107735,2080036370,2120036370
20107791,2080036120,2120036170
20107792,2080036120,2120036170
20107853,2080036120,2120036170
20107854,2080036120,2120036170
20107855,2080036120,2120036170
20107858,2080036370,2120036370
20107919,2080036290,2120036310
20107987,2080036120,2120036170
20107988,2080036120,2120036170
20107989,2080036120,2120036210
20107990,2080036120,2120036210
20108013,2080030830,2120030830
20108049,2080036120,2120036170
20108050,2080036120,2120036170
20108051,2080036120,2120036170
20108052,2080036120,2120036170
20108124,2080036120,2120036170
20108125,2080036120,2120036170
20108126,2080036120,2120036210
20108127,2080036120,2120036210
20108128,2080036120,2120036210
20108143,2080029520,2120029540
20108188,2080036120,2120036170
20108189,2080036120,2120036170
20108190,2080036120,2120036170
20108191,2080036120,2120036210
20108210,2080030830,2120030830
20108242,2080036120,2120036170
20108243,2080036120,2120036170
20108244,2080036120,2120036170
20108245,2080036120,2120036170
20108246,2080036120,2120036170
20108247,2080036120,2120036210
20108248,2080036120,2120036210
20108249,2080036120,2120036210
20108316,2080036120,2120036170
20108317,2080036120,2120036170
20108318,2080036120,2120036170
20108319,2080036120,2120036170
20108320,2080036120,2120036210
20108321,2080036120,2120036210
20108386,2080036120,2120036170
20108387,2080036120,2120036170
20108388,2080036120,2120036210
20108389,2080036290,2120036290
20108441,2080036120,2120036210
20108511,2080036120,2120036170
20108582,2080036120,2120036170
20108585,2080036120,2120036210
20108586,2080036120,2120036210
20108587,2080036120,2120036210
20108589,2080036290,2120036310
20108658,2080036120,2120036170
20108659,2080036120,2120036170
20108662,2080036120,2120036210
20108787,2080036120,2120036170
20108788,2080036120,2120036170
20108789,2080036120,2120036170
20108855,2080036120,2120036150
20108856,2080036120,2120036170
20108859,2080036120,2120036210
20108934,2080036120,2120036170
20108935,2080036120,2120036170
20108938,2080036120,2120036210
20108939,2080036120,2120036210
20108940,2080036120,2120036210
20108997,2080036120,2120036150
20109003,2080036120,2120036210
20109004,2080036120,2120036210
20109005,2080036120,2120036210
20109006,2080036120,2120036210
